breaks,orig.freq,processed.freq,df.batch_sizes...2.
0,28932950,0,0
0.01,1125847,1125827,50000
0.02,771263,771070,50000
0.03,466029,465872,50000
0.04,367349,367133,50000
0.05,373922,373630,50000
0.06,273059,272720,50000
0.07,246390,246049,50000
0.08,266548,266028,50000
0.09,204427,204108,50000
0.1,197133,196698,50000
0.11,225709,225278,50000
0.12,178348,177954,50000
0.13,199387,198962,50000
0.14,159852,159448,50000
0.15,151641,151240,50000
0.16,176973,176374,50000
0.17,144857,144452,50000
0.18,142205,141800,50000
0.19,162386,161783,50000
0.2,133470,132849,50000
0.21,130358,129763,50000
0.22,151181,150360,50000
0.23,123204,122570,50000
0.24,144193,143471,50000
0.25,117827,117220,50000
0.26,114810,114154,50000
0.27,140696,140007,50000
0.28,113982,113358,50000
0.29,108848,108285,50000
0.3,129095,128391,50000
0.31,108700,108090,50000
0.32,106490,105898,50000
0.33,126741,126046,50000
0.34,104316,103751,50000
0.35,102739,102117,50000
0.36,120700,119921,50000
0.37,102062,101402,50000
0.38,119993,119238,50000
0.39,101625,100964,50000
0.4,100315,99623,50000
0.41,119587,118756,50000
0.42,99361,98680,50000
0.43,99307,98575,50000
0.44,117155,116320,50000
0.45,99256,98575,50000
0.46,98292,97589,50000
0.47,115424,114530,50000
0.48,95449,94753,50000
0.49,107787,106829,50000
